Desk, Number of Flights, Interarrival Time Distribution
Desk 3,35.000000, Exponential(6.4706)
Desk 4,18.000000, Exponential(8)
Desk 44,23.000000, Exponential(10.4545)
Desk 45,35.000000, Exponential(6.5588)
Desk 46,32.000000, Exponential(5.8387)
Desk 47,23.000000, Exponential(7.7727)
Desk 48,42.000000, Exponential(5.122)
Desk 49,26.000000, Exponential(7.2)
Desk 5,13.000000, Exponential(13.1667)
Desk 56,23.000000, Exponential(10.2273)
Desk 57,28.000000, Exponential(6.4074)
Desk 58,30.000000, Exponential(5.6207)
Desk 59,18.000000, Triangular(0;5;47)
Desk 61,35.000000, Exponential(5.6765)
Desk 62,27.000000, Exponential(8.5385)
Desk 63,27.000000, Exponential(5.5)
Desk 64,17.000000, Exponential(9.3125)
Desk 65,16.000000, Exponential(6.6)
Desk 66,14.000000, Exponential(6.9231)
Desk 67,35.000000, Exponential(5.2353)
Desk 68,25.000000, Exponential(8.125)
Desk 69,20.000000, Exponential(7.8947)
Desk 7,29.000000, Exponential(8.2143)
Desk 70,17.000000, Exponential(8.5625)
Desk 71,11.000000, Exponential(11)
Desk 72,19.000000, Exponential(7.3889)
Desk 73,26.000000, Exponential(6.64)
Desk 74,6.000000, Lognormal(1.9823;1.0491)
Desk 75,28.000000, Exponential(8.7037)
Desk 76,27.000000, Exponential(9)
Desk 77,35.000000, Exponential(7)
Desk 78,18.000000, Lognormal(1.8058;1.1198)
Desk 79,19.000000, Exponential(8.7778)
Desk 8,29.000000, Exponential(6.0357)
Desk 80,15.000000, Exponential(9.6429)
Desk 81,16.000000, Exponential(7.6667)
Desk 82,19.000000, Exponential(8.6667)
Desk 83,18.000000, Exponential(7.4706)
Desk 84,16.000000, Exponential(7.6667)
Desk 85,27.000000, Exponential(6)
Desk 86,27.000000, Exponential(4.7692)
Desk 87,30.000000, Exponential(5.6897)
Desk 88,24.000000, Exponential(8.913)
Desk 89,5.000000, Lognormal(1.3824;0.85933)
Desk 9,26.000000, Exponential(7.56)
Desk 90,24.000000, Exponential(8.3478)
Desk 91,10.000000, Exponential(6.1111)
Desk 92,10.000000, Exponential(10)
Desk 93,16.000000, Exponential(9.6)
Desk 94,9.000000, Exponential(10.375)
Desk 95,23.000000, Exponential(5.4545)
Desk 96,10.000000, Exponential(18)
Desk 97,35.000000, Exponential(5.9412)
Desk 98,22.000000, Exponential(7.8571)
Desk 99,16.000000, Exponential(9.6667)
Desk E1,29.000000, Exponential(6.7857)
Desk M81,7.000000, Triangular(0;5;15)
Desk M82,10.000000, Exponential(9.8889)
Desk M83,7.000000, Exponential(10)
Desk M84,7.000000, Exponential(15.8333)
Desk M85,7.000000, Triangular(5;5;25)
Desk M86,12.000000, Exponential(5.8182)
Desk M87,8.000000, Exponential(8.7143)
Desk P1,0.000000, Invalid Distribution: 0 tasks occurred
Desk P3,17.000000, Exponential(8.625)
Desk P44,0.000000, Invalid Distribution: 0 tasks occurred
Desk P45,10.000000, Exponential(5)
Desk P46,22.000000, Exponential(7.5714)
Desk P47,14.000000, Exponential(7.4615)
Desk P5,8.000000, Lognormal(1.7563;1.2207)
Desk P56,0.000000, Invalid Distribution: 0 tasks occurred
Desk P57,15.000000, Lognormal(1.6366;1.1645)
Desk P58,14.000000, Exponential(5.6923)
Desk P59,1.000000, Invalid Distribution: 1 tasks occurred
Desk P61,15.000000, Exponential(4.5)
Desk P62,1.000000, Invalid Distribution: 1 tasks occurred
Desk P7,8.000000, Exponential(13.2857)
Desk P75,10.000000, Exponential(6)
Desk P76,11.000000, Lognormal(1.2235;1.3105)
Desk P77,11.000000, Exponential(8)
Desk P79,14.000000, Lognormal(1.9132;0.7693)
Desk P8,25.000000, Exponential(6.7917)
Desk P88,8.000000, Exponential(12.8571)
Desk P97,6.000000, Lognormal(2.1226;1.4352)
Desk P99,7.000000, Exponential(4.1667)
