Desk, Number of Flights, Interarrival Time Distribution
Desk 3,96.000000, Exponential(5.8421)
Desk 4,56.000000, Exponential(8.4727)
Desk 44,50.000000, Exponential(11.6531)
Desk 45,74.000000, Exponential(7.7123)
Desk 46,66.000000, Exponential(8.3077)
Desk 47,61.000000, Exponential(8.5)
Desk 48,73.000000, Exponential(7.6389)
Desk 49,55.000000, Exponential(9.4815)
Desk 5,39.000000, Exponential(13)
Desk 56,53.000000, Exponential(10.7692)
Desk 57,67.000000, Exponential(7.6818)
Desk 58,63.000000, Exponential(8.129)
Desk 59,47.000000, Exponential(12.3913)
Desk 61,78.000000, Exponential(6.7922)
Desk 62,72.000000, Exponential(7.9577)
Desk 63,65.000000, Exponential(7.7344)
Desk 64,42.000000, Exponential(11.8049)
Desk 65,44.000000, Exponential(10.186)
Desk 66,52.000000, Exponential(8.451)
Desk 67,71.000000, Exponential(7.3286)
Desk 68,53.000000, Exponential(10.0962)
Desk 69,57.000000, Exponential(8.625)
Desk 7,71.000000, Exponential(8.2857)
Desk 70,54.000000, Exponential(9.1509)
Desk 71,43.000000, Exponential(10.8333)
Desk 72,47.000000, Exponential(10.1304)
Desk 73,61.000000, Exponential(8.3)
Desk 74,55.000000, Exponential(7.5185)
Desk 75,60.000000, Exponential(9.7288)
Desk 76,62.000000, Exponential(9.3443)
Desk 77,76.000000, Exponential(7.6)
Desk 78,43.000000, Lognormal(2.0366;1.0409)
Desk 79,43.000000, Exponential(12.1429)
Desk 8,72.000000, Exponential(7.1127)
Desk 80,47.000000, Exponential(10.1087)
Desk 81,52.000000, Exponential(9.1961)
Desk 82,59.000000, Exponential(8.4483)
Desk 83,59.000000, Exponential(8.1034)
Desk 84,53.000000, Exponential(8.7308)
Desk 85,65.000000, Exponential(7.7812)
Desk 86,59.000000, Exponential(7.8448)
Desk 87,61.000000, Exponential(8.4167)
Desk 88,58.000000, Exponential(10)
Desk 89,34.000000, Exponential(10.697)
Desk 9,62.000000, Exponential(8.5246)
Desk 90,53.000000, Exponential(10.0577)
Desk 91,39.000000, Exponential(10.2632)
Desk 92,46.000000, Exponential(9.4667)
Desk 93,37.000000, Exponential(13.1944)
Desk 94,41.000000, Exponential(11.45)
Desk 95,49.000000, Exponential(9.5833)
Desk 96,39.000000, Exponential(13.0263)
Desk 97,73.000000, Exponential(7.7083)
Desk 98,54.000000, Exponential(9.4717)
Desk 99,45.000000, Exponential(11.5455)
Desk E1,75.000000, Exponential(7.3649)
Desk M81,46.000000, Exponential(8.4444)
Desk M82,58.000000, Exponential(7.6316)
Desk M83,67.000000, Exponential(6.2879)
Desk M84,62.000000, Exponential(7.1967)
Desk M85,58.000000, Exponential(7.2632)
Desk M86,57.000000, Exponential(7.4107)
Desk M87,64.000000, Exponential(6.2698)
Desk P1,33.000000, Exponential(10.0625)
Desk P3,53.000000, Exponential(9.1923)
Desk P44,25.000000, Exponential(13.6667)
Desk P45,37.000000, Exponential(10.5)
Desk P46,50.000000, Exponential(10.0816)
Desk P47,44.000000, Exponential(10.1395)
Desk P5,36.000000, Exponential(12.1429)
Desk P56,51.000000, Exponential(6.6)
Desk P57,45.000000, Exponential(10.5909)
Desk P58,45.000000, Exponential(9.5227)
Desk P59,32.000000, Exponential(11.0968)
Desk P61,58.000000, Exponential(7)
Desk P62,53.000000, Exponential(6.5769)
Desk P7,51.000000, Exponential(8.56)
Desk P75,36.000000, Exponential(11.1429)
Desk P76,34.000000, Exponential(12.8182)
Desk P77,48.000000, Exponential(9.0426)
Desk P79,49.000000, Exponential(9.3542)
Desk P8,52.000000, Exponential(9.7647)
Desk P88,34.000000, Exponential(12.8788)
Desk P97,34.000000, Exponential(12.9091)
Desk P99,30.000000, Exponential(12.4483)
